epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,603.049,0.86458,0.65358,1.1791,0.92455,0.9684,0.97257,0.73777,1.00343,0.51626,1.28036,0.000118516,0.000118516,0.000118516
70,611.37,0.85559,0.64743,1.17527,0.94453,0.9551,0.97308,0.73794,0.99808,0.52461,1.27813,0.000116582,0.000116582,0.000116582
71,619.668,0.85179,0.64521,1.17683,0.9433,0.95078,0.97178,0.74238,0.96564,0.51367,1.25754,0.000114648,0.000114648,0.000114648
72,628.485,0.85237,0.63885,1.17116,0.94644,0.95536,0.97416,0.74135,0.96543,0.51065,1.25488,0.000112715,0.000112715,0.000112715
73,637.214,0.85167,0.64,1.17073,0.93019,0.96861,0.97076,0.72972,1.01535,0.52695,1.3036,0.000110781,0.000110781,0.000110781
74,645.946,0.84653,0.63832,1.17028,0.94871,0.96327,0.97507,0.75911,0.93162,0.4965,1.23263,0.000108848,0.000108848,0.000108848
75,654.66,0.84154,0.63626,1.16791,0.94748,0.95495,0.98026,0.75187,0.94771,0.50914,1.23837,0.000106914,0.000106914,0.000106914
76,663.359,0.83975,0.62347,1.16076,0.93468,0.97154,0.97764,0.75482,0.92614,0.48717,1.22454,0.00010498,0.00010498,0.00010498
77,672.124,0.83735,0.62094,1.16479,0.94216,0.9607,0.9726,0.73064,1.00973,0.5124,1.29345,0.000103047,0.000103047,0.000103047
78,681.056,0.83425,0.62136,1.15404,0.95689,0.9613,0.97389,0.74174,0.97224,0.49825,1.26739,0.000101113,0.000101113,0.000101113
79,689.943,0.83269,0.62954,1.15867,0.94714,0.96026,0.97927,0.75936,0.9377,0.48602,1.2363,9.91797e-05,9.91797e-05,9.91797e-05
80,698.685,0.8242,0.62236,1.15504,0.92989,0.96823,0.97473,0.75393,0.96067,0.49362,1.25915,9.72461e-05,9.72461e-05,9.72461e-05
81,707.453,0.83182,0.6166,1.15711,0.94544,0.96354,0.97438,0.76633,0.89214,0.47476,1.20125,9.53125e-05,9.53125e-05,9.53125e-05
82,716.231,0.83066,0.61391,1.16042,0.94442,0.96252,0.97609,0.75338,0.92445,0.48192,1.22161,9.33789e-05,9.33789e-05,9.33789e-05
83,725.003,0.81898,0.613,1.15148,0.94753,0.96404,0.97618,0.75629,0.94264,0.4847,1.23642,9.14453e-05,9.14453e-05,9.14453e-05
84,733.798,0.82763,0.60888,1.15534,0.96106,0.953,0.97885,0.76279,0.90638,0.47485,1.2145,8.95117e-05,8.95117e-05,8.95117e-05
85,742.598,0.81847,0.59785,1.14888,0.95891,0.9557,0.97761,0.76379,0.90245,0.47027,1.21411,8.75781e-05,8.75781e-05,8.75781e-05
86,751.431,0.81764,0.60887,1.15075,0.95916,0.96033,0.98187,0.7518,0.95728,0.4725,1.25345,8.56445e-05,8.56445e-05,8.56445e-05
87,760.256,0.80456,0.59123,1.14007,0.95323,0.96086,0.98286,0.77293,0.89102,0.46224,1.20002,8.37109e-05,8.37109e-05,8.37109e-05
88,769.018,0.8018,0.58939,1.13709,0.95999,0.95115,0.97927,0.75803,0.93838,0.46808,1.23794,8.17773e-05,8.17773e-05,8.17773e-05
89,777.776,0.80779,0.59312,1.14498,0.94956,0.96172,0.97941,0.76188,0.92074,0.47198,1.2204,7.98438e-05,7.98438e-05,7.98438e-05
90,786.499,0.79912,0.58613,1.13679,0.95315,0.96431,0.98442,0.76346,0.91798,0.46739,1.22241,7.79102e-05,7.79102e-05,7.79102e-05
91,795.214,0.79324,0.58244,1.13501,0.94955,0.96706,0.98467,0.7621,0.92465,0.4609,1.22314,7.59766e-05,7.59766e-05,7.59766e-05
92,803.977,0.78692,0.57575,1.12302,0.95041,0.96929,0.98163,0.7662,0.8872,0.45334,1.19453,7.4043e-05,7.4043e-05,7.4043e-05
93,812.68,0.80581,0.59183,1.14397,0.95113,0.96624,0.98287,0.75404,0.94106,0.46677,1.23755,7.21094e-05,7.21094e-05,7.21094e-05
94,821.481,0.79171,0.58027,1.13749,0.95221,0.96496,0.98402,0.76383,0.90136,0.45983,1.21002,7.01758e-05,7.01758e-05,7.01758e-05
95,829.876,0.79104,0.58517,1.13681,0.95316,0.96042,0.98458,0.7626,0.90432,0.45876,1.20608,6.82422e-05,6.82422e-05,6.82422e-05
96,838.508,0.78204,0.57379,1.12485,0.95317,0.97006,0.97843,0.76704,0.87349,0.44481,1.18893,6.63086e-05,6.63086e-05,6.63086e-05
