epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,5909.81,0.5462,0.34652,1.02129,0.97669,0.978,0.98964,0.85852,0.61992,0.26668,1.06278,0.00999991,0.00999991,0.00999991
89,5975.12,0.54055,0.342,1.01553,0.97959,0.98007,0.98936,0.85779,0.62531,0.26767,1.06481,0.00999991,0.00999991,0.00999991
90,6041.28,0.5421,0.3402,1.01762,0.97739,0.98002,0.98672,0.85787,0.63053,0.27097,1.06989,0.00999991,0.00999991,0.00999991
91,6112.28,0.53739,0.34035,1.01356,0.97326,0.98056,0.98758,0.85795,0.62454,0.26694,1.06289,0.00999991,0.00999991,0.00999991
92,6183.46,0.53673,0.33804,1.01779,0.97031,0.97917,0.9883,0.86082,0.62013,0.26482,1.06214,0.00999991,0.00999991,0.00999991
93,6254.1,0.53787,0.3422,1.02059,0.97232,0.97763,0.98862,0.85778,0.62134,0.26692,1.06995,0.00999991,0.00999991,0.00999991
94,6323.9,0.53232,0.33675,1.01193,0.97361,0.97802,0.98744,0.85768,0.61959,0.26705,1.06822,0.00999991,0.00999991,0.00999991
95,6394.33,0.53394,0.33689,1.01605,0.97172,0.97876,0.98746,0.85878,0.62208,0.26818,1.0721,0.00999991,0.00999991,0.00999991
96,6463.69,0.52847,0.33341,1.00844,0.97038,0.97869,0.98706,0.85385,0.62033,0.26452,1.06337,0.00999991,0.00999991,0.00999991
97,6533.27,0.52452,0.3332,1.00587,0.97408,0.97775,0.98797,0.85656,0.6211,0.2621,1.06281,0.0099999,0.0099999,0.0099999
98,6603.59,0.52831,0.3334,1.01042,0.97319,0.98001,0.98703,0.85623,0.61905,0.25998,1.06276,0.0099999,0.0099999,0.0099999
99,6673.9,0.52402,0.33427,1.01231,0.97456,0.97923,0.98649,0.85704,0.61775,0.25923,1.06214,0.0099999,0.0099999,0.0099999
100,6742.68,0.52175,0.33173,1.00773,0.97303,0.97903,0.98544,0.85481,0.61676,0.26074,1.06066,0.0099999,0.0099999,0.0099999
101,6811.5,0.52375,0.3326,1.0115,0.97307,0.97957,0.9866,0.85794,0.61508,0.26118,1.06149,0.0099999,0.0099999,0.0099999
102,6880.48,0.52426,0.33215,1.00742,0.97143,0.97952,0.98775,0.85856,0.61573,0.25954,1.06096,0.0099999,0.0099999,0.0099999
